City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,ortigueira,-24.2083,-50.9494,27.04,50,98,2.35,BR,1712844410
220,ciudad tula,23.0,-99.7167,16.58,43,48,1.29,MX,1712844410
221,orapa,-21.2833,25.3667,29.88,18,80,2.66,BW,1712844410
222,beckingen,49.4,6.7,17.41,54,100,1.92,DE,1712844253
223,rabaul,-4.1967,152.1721,26.61,84,100,2.24,PG,1712844410
224,brisas de zicatela,15.8369,-97.0419,27.29,69,0,1.54,MX,1712844411
225,sanchor,24.7553,71.7722,32.91,22,97,5.34,IN,1712844411
226,kingston,17.997,-76.7936,31.2,68,20,4.63,JM,1712844317
227,hammerfest,70.6634,23.6821,2.25,87,75,8.23,NO,1712844411
228,al kharijah,25.4514,30.5464,29.87,16,2,5.7,EG,1712844411
229,chissamba,-12.1667,17.3333,24.52,73,100,1.51,AO,1712844411
230,alpatovo,43.7028,45.2415,18.42,38,45,4.4,RU,1712844412
231,tazovsky,67.4667,78.7,-24.82,99,6,2.93,RU,1712844412
232,barmer,25.75,71.3833,32.34,21,76,3.03,IN,1712844412
233,yuzhno-kurilsk,44.0306,145.8556,4.65,76,100,4.43,RU,1712844412
234,hailin,44.5833,129.4167,9.06,76,5,2.56,CN,1712844412
235,puerto colombia,10.9878,-74.9547,29.05,67,34,5.58,CO,1712844341
236,nambucca,-30.6333,152.9833,18.81,82,6,3.86,AU,1712844413
237,punta arenas,-53.15,-70.9167,8.06,66,40,11.32,CL,1712844282
238,livingstone,-17.8419,25.8543,29.21,38,44,3.4,ZM,1712844413
239,hithadhoo,-0.6,73.0833,29.89,69,56,2.13,MV,1712844413
240,nikolayevsk-on-amure,53.1406,140.73,3.45,86,94,0.89,RU,1712844413
241,cam ranh,11.9214,109.1591,27.98,78,20,4.63,VN,1712844413
242,whitehorse,60.7161,-135.0538,-2.57,73,20,2.57,CA,1712844301
243,pokhara,28.2333,83.9833,21.72,17,96,3.41,NP,1712844182
244,rio grande,-32.035,-52.0986,21.06,60,100,7.01,BR,1712844414
245,la passe,45.5549,-0.8967,17.23,74,93,2.92,FR,1712844414
246,nova sintra,14.8667,-24.7167,22.65,74,6,6.08,CV,1712844414
247,kununurra,-15.7667,128.7333,18.99,82,4,0.0,AU,1712844306
248,aasiaat,68.7098,-52.8699,-6.53,89,100,2.04,GL,1712844414
249,eyl,7.9803,49.8164,29.56,70,0,5.37,SO,1712844415
250,homer,59.6425,-151.5483,1.56,79,40,0.45,US,1712844415
251,coro,11.4045,-69.6734,29.69,61,33,7.17,VE,1712844359
252,la ronge,55.1001,-105.2842,1.14,80,100,2.57,CA,1712844198
253,taulaga,-11.0553,-171.0883,29.28,75,35,2.56,AS,1712844415
254,fortuna foothills,32.6578,-114.4119,16.71,39,0,0.0,US,1712844415
255,kesap,40.9164,38.5144,12.9,93,100,0.95,TR,1712844416
256,luanda,-8.8368,13.2343,31.0,72,75,2.57,AO,1712844354
257,san luis de la loma,17.2706,-100.8939,26.05,67,0,1.45,MX,1712844416
258,lamar,33.6668,-95.5836,14.43,71,0,6.69,US,1712844416
259,catarman,12.4989,124.6377,25.53,91,99,2.44,PH,1712844416
260,al hasakah,36.5024,40.7477,23.14,37,7,3.55,SY,1712844404
261,mar del plata,-38.0023,-57.5575,14.18,59,75,4.12,AR,1712844265
262,carthage,36.8611,10.3316,16.74,63,75,6.17,TN,1712844417
263,harstad,68.799,16.5293,3.97,97,100,12.96,NO,1712844417
264,riyadh,24.6877,46.7219,31.08,36,17,2.46,SA,1712844303
265,hailey,43.5196,-114.3153,0.92,55,0,5.14,US,1712844417
266,saipan,15.1355,145.701,27.39,83,75,6.17,MP,1712844291
267,lincoln city,44.9582,-124.0179,8.25,96,100,1.34,US,1712844123
268,saurimo,-9.6608,20.3916,27.36,65,94,1.13,AO,1712844227
269,quellon,-43.1167,-73.6167,10.29,69,0,2.1,CL,1712844418
270,mina clavero,-31.721,-65.0062,12.77,97,96,1.57,AR,1712844418
